sample,domain,level,metric,estimate,se,ci_low,ci_high,unweighted_n,weighted_n
Children/adolescents 6-19,age_group,6-11,Weekday MIMS-units,20066.58932251003,149.5345316833463,19773.501640410672,20359.677004609388,1884,17980958.7335475
Children/adolescents 6-19,age_group,6-11,Weekend-day MIMS-units,19167.10259054467,148.45598571007633,18876.12885855292,19458.07632253642,1884,17980958.7335475
Children/adolescents 6-19,age_group,6-11,Weekday minus weekend MIMS-units,899.4867319653623,115.74987901103329,672.6169691037371,1126.3564948269875,1884,17980958.7335475
Children/adolescents 6-19,age_group,6-11,Percent difference from weekday,3.853930556878487,0.5622869087818707,2.7518482156660204,4.956012898090954,1884,17980958.7335475
Adults 20+,age_group,20-39,Weekday MIMS-units,14900.005017687909,109.8943712911974,14684.612049957163,15115.397985418655,2154,47041898.60650051
Adults 20+,age_group,20-39,Weekend-day MIMS-units,14273.133775178252,141.37952389168598,13996.029908350547,14550.237642005957,2154,47041898.60650051
Adults 20+,age_group,20-39,Weekday minus weekend MIMS-units,626.8712425096525,119.75953874680329,392.142546565918,861.5999384533869,2154,47041898.60650051
Adults 20+,age_group,20-39,Percent difference from weekday,1.936881241477709,0.8301095226599331,0.30986657706424015,3.5638959058911777,2154,47041898.60650051
Adults 20+,age_group,40-59,Weekday MIMS-units,14333.320751139961,106.41423363098869,14124.748853223224,14541.8926490567,2343,56785808.779239
Adults 20+,age_group,40-59,Weekend-day MIMS-units,13570.161532936218,86.60142059649867,13400.42274856708,13739.900317305355,2343,56785808.779239
Adults 20+,age_group,40-59,Weekday minus weekend MIMS-units,763.1592182037467,83.09248870260822,600.2979403466346,926.0204960608588,2343,56785808.779239
Adults 20+,age_group,40-59,Percent difference from weekday,3.2270892464363374,0.5885465736514184,2.0735379620795573,4.3806405307931175,2343,56785808.779239
Adults 20+,age_group,60+,Weekday MIMS-units,12026.789146132722,106.19064116090873,11818.65548945734,12234.922802808103,2114,38766345.798099
Adults 20+,age_group,60+,Weekend-day MIMS-units,11501.13010801098,141.14611509212605,11224.483722430414,11777.776493591547,2114,38766345.798099
Adults 20+,age_group,60+,Weekday minus weekend MIMS-units,525.6590381217446,71.6876645972246,385.15121551118443,666.1668607323048,2114,38766345.798099
Adults 20+,age_group,60+,Percent difference from weekday,3.5808211269752954,0.6083814472072667,2.3883934904490527,4.773248763501538,2114,38766345.798099
Children/adolescents 6-19,race_ethnicity,Non-Hispanic White,Weekday MIMS-units,17598.622732983997,263.15073163230943,17082.84729898467,18114.398166983323,841,20178837.248018
Children/adolescents 6-19,race_ethnicity,Non-Hispanic White,Weekend-day MIMS-units,16800.029809886444,266.50404443424924,16277.681882795316,17322.37773697757,841,20178837.248018
Children/adolescents 6-19,race_ethnicity,Non-Hispanic White,Weekday minus weekend MIMS-units,798.5929230975504,141.5744983039864,521.1069064217371,1076.0789397733638,841,20178837.248018
Children/adolescents 6-19,race_ethnicity,Non-Hispanic White,Percent difference from weekday,3.721187830363178,0.8381914484891724,2.0783325913243997,5.364043069401956,841,20178837.248018
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Asian,Weekday MIMS-units,16151.159425282087,203.73728140655652,15751.834353725237,16550.484496838937,373,1818800.2070605
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Asian,Weekend-day MIMS-units,14956.651531290321,247.2431894446682,14472.054879978772,15441.24818260187,373,1818800.2070605
